exer;outre_mer;reg_code;reg_name;dep_code;dep_name;epci_code;epci_name;tranche_population;rural;montagne;touristique;tranche_revenu_imposable_par_habitant;qpv;com_code;com_name;categ;siren;insee;lbudg;agregat;montant_bp;montant_ba;montant_flux;montant;montant_en_millions;ptot;euros_par_habitant;presence_budget;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;ptot_n
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200000438;Communauté de communes du Pays de Pontchâteau Saint-Gildas-des-Bois;4;Oui;Non;Non;1;Non;44050;Crossac;Commune;214400509;44050;CROSSAC;Achats et charges externes;525723.19;13016.96;0.0;538740.15;0.53874015;3016;178.62737068965518;1;;;;;3;;;;;;2017;3062
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200072726;Communauté de communes Châteaubriant-Derval;5;Non;Non;Non;1;Non;44051;Derval;Commune;214400517;44051;DERVAL;Achats et charges externes;565411.57;6691.1;0.0;572102.67;0.57210267;3911;146.28040654564052;1;;;;;3;;;;;;2017;3930
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400644;Communauté d'agglomération de la Région Nazairienne et de l'Estuaire (CARENE);6;Non;Non;Non;1;Non;44052;Donges;Commune;214400525;44052;DONGES;Achats et charges externes;1712148.07;48031.3;0.0;1760179.37;1.7601793700000001;7757;226.9149632589919;1;;;;;3;;;;;;2017;8196
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200000438;Communauté de communes du Pays de Pontchâteau Saint-Gildas-des-Bois;4;Oui;Non;Non;1;Non;44053;Drefféac;Commune;214400533;44053;DREFFEAC;Achats et charges externes;312514.01;58063.0;0.0;370577.01;0.37057701;2158;171.7224328081557;1;;;;;3;;;;;;2017;2327
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200072726;Communauté de communes Châteaubriant-Derval;4;Oui;Non;Non;1;Non;44054;Erbray;Commune;214400541;44054;ERBRAY;Achats et charges externes;479386.13;580271.87;0.0;1059658.0;1.059658;3033;349.37619518628424;1;;;;;3;;;;;;2017;3127
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400610;Communauté d'agglomération de la Presqu'île de Guérande Atlantique (Cap Atlantique);7;Non;Non;Oui;5;Non;44055;La Baule-Escoublac;Commune;214400558;44055;BAULE-ESCOUBLAC (LA );Achats et charges externes;6382510.97;552953.07;0.0;6935464.04;6.93546404;16242;427.0080064031523;1;;;;;3;;;;;;2017;17034
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400503;Communauté de communes d'Erdre et Gesvres;5;Oui;Non;Non;1;Non;44056;Fay-de-Bretagne;Commune;214400566;44056;FAY-DE-BRETAGNE;Achats et charges externes;604752.53;17129.33;0.0;621881.86;0.62188186;3559;174.734998595111;1;;;;;3;;;;;;2017;3812
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;243500741;Communauté d'agglomération Redon Agglomération;4;Oui;Non;Non;1;Non;44057;Fégréac;Commune;214400574;44057;FEGREAC;Achats et charges externes;429176.94;313.56;0.0;429490.5;0.4294905;2445;175.66073619631902;1;;;;;3;;;;;;2017;2341
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200072726;Communauté de communes Châteaubriant-Derval;2;Oui;Non;Non;1;Non;44058;Fercé;Commune;214400582;44058;FERCE;Achats et charges externes;91634.46;1339.48;0.0;92973.94;0.09297394;514;180.88315175097276;1;;;;;3;;;;;;2017;495
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400586;Communauté de communes du Sud Estuaire;4;Oui;Non;Non;1;Non;44061;Frossay;Commune;214400616;44061;FROSSAY;Achats et charges externes;708255.59;930.0;0.0;709185.59;0.7091855899999999;3217;220.44935965184953;1;;;;;3;;;;;;2017;3304
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400453;Communauté de communes Pays de Blain Communauté;3;Oui;Non;Non;1;Non;44062;Le Gâvre;Commune;214400624;44062;GAVRE (LE );Achats et charges externes;226658.65;11460.75;0.0;238119.4;0.23811939999999998;1776;134.07623873873874;1;;;;;3;;;;;;2017;1892
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200067635;Communauté d'agglomération Clisson Sèvre et Maine Agglo;5;Non;Non;Non;2;Non;44063;Gétigné;Commune;214400632;44063;GETIGNE;Achats et charges externes;856012.58;167493.48;0.0;1023506.06;1.02350606;3635;281.5697551581843;1;;;;;3;;;;;;2017;3858
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200067635;Communauté d'agglomération Clisson Sèvre et Maine Agglo;6;Non;Non;Non;1;Non;44064;Gorges;Commune;214400640;44064;GORGES;Achats et charges externes;978859.89;17108.72;0.0;995968.61;0.99596861;4743;209.98705671515918;1;;;;;3;;;;;;2017;5330
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200072726;Communauté de communes Châteaubriant-Derval;3;Oui;Non;Non;1;Non;44065;Grand-Auverné;Commune;214400657;44065;GRAND-AUVERNE;Achats et charges externes;122778.4;16767.1;0.0;139545.5;0.1395455;804;173.56405472636817;1;;;;;3;;;;;;2017;787
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400503;Communauté de communes d'Erdre et Gesvres;6;Non;Non;Non;2;Non;44066;Grandchamp-des-Fontaines;Commune;214400665;44066;GRANDCHAMP-DES-FONTAINES;Achats et charges externes;1177898.83;18126.95;0.0;1196025.78;1.19602578;5599;213.6141775317021;1;;;;;3;;;;;;2017;6870
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;243500741;Communauté d'agglomération Redon Agglomération;6;Non;Non;Non;1;Non;44067;Guémené-Penfao;Commune;214400673;44067;GUEMENE-PENFAO;Achats et charges externes;1090767.01;34133.75;0.0;1124900.76;1.12490076;5387;208.81766474846853;1;;;;;3;;;;;;2017;5346
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200000438;Communauté de communes du Pays de Pontchâteau Saint-Gildas-des-Bois;5;Oui;Non;Non;1;Non;44068;Guenrouet;Commune;214400681;44068;GUENROUET;Achats et charges externes;667879.13;28443.9;0.0;696323.03;0.6963230300000001;3364;206.99257728894173;1;;;;;3;;;;;;2017;3543
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400610;Communauté d'agglomération de la Presqu'île de Guérande Atlantique (Cap Atlantique);7;Non;Non;Oui;3;Non;44069;Guérande;Commune;214400699;44069;GUERANDE;Achats et charges externes;3327115.64;32669.74;0.0;3359785.38;3.35978538;16730;200.82399163179915;1;;;;;3;;;;;;2017;16733
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200067635;Communauté d'agglomération Clisson Sèvre et Maine Agglo;5;Non;Non;Non;2;Non;44070;La Haie-Fouassière;Commune;214400707;44070;HAYE-FOUASSIERE (LA);Achats et charges externes;930718.6;0.0;0.0;930718.6;0.9307186;4587;202.9035535208197;1;;;;;3;;;;;;2017;4823
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200067635;Communauté d'agglomération Clisson Sèvre et Maine Agglo;6;Non;Non;Non;3;Non;44071;Haute-Goulaine;Commune;214400715;44071;HAUTE-GOULAINE;Achats et charges externes;1684282.57;34358.26;0.0;1718640.83;1.71864083;5719;300.5142210176604;1;;;;;3;;;;;;2017;6115
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400610;Communauté d'agglomération de la Presqu'île de Guérande Atlantique (Cap Atlantique);6;Non;Non;Non;2;Non;44072;Herbignac;Commune;214400723;44072;HERBIGNAC;Achats et charges externes;1201557.22;157395.6;0.0;1358952.82;1.35895282;6567;206.93662555200245;1;;;;;3;;;;;;2017;7254
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400503;Communauté de communes d'Erdre et Gesvres;6;Non;Non;Non;2;Non;44073;Héric;Commune;214400731;44073;HERIC;Achats et charges externes;1024152.02;31053.18;0.0;1055205.2;1.0552051999999998;5847;180.46950572943388;1;;;;;3;;;;;;2017;6590
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400404;Nantes Métropole;5;Non;Non;Non;2;Non;44074;Indre;Commune;214400749;44074;INDRE;Achats et charges externes;1244745.02;0.0;0.0;1244745.02;1.24474502;4003;310.95304021983515;1;;;;;3;;;;;;2017;4177
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200072726;Communauté de communes Châteaubriant-Derval;3;Oui;Non;Non;1;Non;44075;Issé;Commune;214400756;44075;ISSE;Achats et charges externes;410865.66;689.7;0.0;411555.36;0.41155536;1901;216.49413992635453;1;;;;;3;;;;;;2017;1833
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200072726;Communauté de communes Châteaubriant-Derval;3;Oui;Non;Non;1;Non;44076;Jans;Commune;214400764;44076;JANS;Achats et charges externes;244451.04;2003.13;0.0;246454.17;0.24645417;1324;186.1436329305136;1;;;;;3;;;;;;2017;1421
